Typ,Gewichtung,Latitude,Longitude,Nennleistung [kW]
Carsharing,2,49.0010449,8.3650689,150
Carsharing,2,49.053847,8.3935815,250
Supermarkt,2,49.0099674,8.3923058,150
Carsharing,2,49.0422697,8.4444684,150
Carsharing,2,48.9968719,8.4725516,300
Supermarkt,2,49.0100512,8.3909685,150
Carsharing,2,49.0365289,8.4333567,150
Carsharing,2,49.0032546,8.3962205,250
Carsharing,2,49.008713,8.4239047,150
Carsharing,2,49.0050674,8.3233881,150
Carsharing,2,49.0161493,8.3969994,150
Carsharing,2,49.019307,8.4397825,150
Carsharing,2,49.0089673,8.4097042,300
Carsharing,2,48.9929861,8.4517425,250
Supermarkt,2,48.9970219,8.3606633,250
Carsharing,2,49.0114563,8.3828641,250
Carsharing,2,49.0117454,8.3765077,250
Supermarkt,2,48.9953859,8.3885949,150
Carsharing,2,49.0180328,8.3811326,250
Carsharing,2,49.0071476,8.5031607,150
Supermarkt,2,49.0090353,8.3739029,250
Supermarkt,2,49.0334095,8.4332286,250
Bushaltestelle,1,48.9922184,8.3689206,150
Bushaltestelle,1,49.0365541,8.3428736,150
Bushaltestelle,1,49.0384403,8.3696836,150
Bushaltestelle,1,49.0032235,8.4925721,150
Bushaltestelle,1,48.9994116,8.3807887,250
Bushaltestelle,1,49.0075206,8.3443278,250
Bushaltestelle,1,49.0282768,8.4558367,150
Bushaltestelle,1,49.0379196,8.3392897,150
Bushaltestelle,1,48.951209,8.5033391,150
Bushaltestelle,1,49.0663051,8.4651312,150
Bushaltestelle,1,49.0469831,8.3709418,150
Bushaltestelle,1,49.0775221,8.461568,150
Bushaltestelle,1,49.017554,8.439635,300
Bushaltestelle,1,49.0219013,8.3604515,150
Bushaltestelle,1,49.0029098,8.4976565,150
Bushaltestelle,1,49.0538267,8.5370875,250
Bushaltestelle,1,48.9535104,8.3801273,150
Bushaltestelle,1,49.02214,8.360557,300
Bushaltestelle,1,49.0109239,8.3580893,300
Bushaltestelle,1,48.9814315,8.3283785,150
Bushaltestelle,1,49.0298945,8.3939148,150
Bushaltestelle,1,49.0211379,8.4682571,150
Bushaltestelle,1,48.994645,8.3825994,150
Bushaltestelle,1,48.9703096,8.4162141,150
Bushaltestelle,1,49.020063,8.3643434,250
Bushaltestelle,1,49.0162129,8.3343645,150
Bushaltestelle,1,49.0061591,8.4934188,150
Bushaltestelle,1,48.99233,8.473297,150
Bushaltestelle,1,49.0100638,8.4180396,300
Bushaltestelle,1,48.9906065,8.3848586,150
Bushaltestelle,1,49.0025452,8.483181,150
Bushaltestelle,1,49.0577511,8.5215322,150
Bushaltestelle,1,49.0340354,8.4738927,300
Bushaltestelle,1,48.9540233,8.5081282,150
Bushaltestelle,1,49.0356054,8.3855046,250
Bushaltestelle,1,49.0269594,8.4543508,250
Bushaltestelle,1,48.9581464,8.4298011,150
Bushaltestelle,1,49.0352803,8.3859211,250
Bushaltestelle,1,48.9927504,8.4487901,150
Bushaltestelle,1,48.9986441,8.3890133,250
Bushaltestelle,1,49.0237661,8.4630416,250
Bushaltestelle,1,49.0282438,8.4559142,150
Bushaltestelle,1,48.9656802,8.4044163,150
Bushaltestelle,1,49.0368262,8.3740403,250
Bushaltestelle,1,48.9571149,8.3780561,150
Bushaltestelle,1,49.0033818,8.5024974,150
Bushaltestelle,1,48.9884396,8.4530172,150
Bushaltestelle,1,49.020705,8.4780978,150
Bushaltestelle,1,49.0292669,8.4571278,250
Bushaltestelle,1,48.9967246,8.4323658,150
Bushaltestelle,1,49.0029599,8.5357295,150
Bushaltestelle,1,49.0327379,8.3649399,150
Bushaltestelle,1,48.9945141,8.3997656,250
Bushaltestelle,1,49.0453921,8.447647,150
Bushaltestelle,1,49.010407,8.41811,250
Bushaltestelle,1,48.9676432,8.3049691,150
Bushaltestelle,1,48.9839807,8.3959509,300
Bushaltestelle,1,49.0507988,8.5474025,150
Bushaltestelle,1,48.9899479,8.3844213,150
Bushaltestelle,1,49.0534553,8.3999537,150
Bushaltestelle,1,49.0035549,8.5270106,300
Bushaltestelle,1,48.9921898,8.4865808,250
Bushaltestelle,1,49.0885881,8.4810853,150
Bushaltestelle,1,49.0212554,8.4582385,250
Bushaltestelle,1,49.0131804,8.4282563,250
Bushaltestelle,1,49.066227,8.5138109,150
Bushaltestelle,1,49.0265684,8.3858561,150
Bushaltestelle,1,48.9911468,8.455277,150
Bushaltestelle,1,49.0333354,8.3948815,150
Bushaltestelle,1,49.0473651,8.3964045,250
Bushaltestelle,1,48.9843354,8.3987099,300
Bushaltestelle,1,48.985766,8.4591611,250
Bushaltestelle,1,49.0155142,8.4222211,150
Bushaltestelle,1,48.9858979,8.3774475,150
Bushaltestelle,1,49.0006227,8.3660777,250
Bushaltestelle,1,48.9847764,8.5451757,250
Bushaltestelle,1,48.9672392,8.5044033,250
Bushaltestelle,1,48.9915504,8.4528333,250
Bushaltestelle,1,49.024304,8.3754451,250
Bushaltestelle,1,49.0244815,8.4614191,150
Bushaltestelle,1,49.0023884,8.4832099,150
Bushaltestelle,1,48.9768824,8.3358715,250
Bushaltestelle,1,48.9823498,8.3682212,250
Bushaltestelle,1,48.9834055,8.3652168,150
Bushaltestelle,1,48.9963375,8.3481725,150
Bushaltestelle,1,49.0017162,8.5290187,250
Bushaltestelle,1,49.0009257,8.3122311,150
Bushaltestelle,1,48.9990191,8.4745105,150
Bushaltestelle,1,49.0452871,8.4479138,150
Bushaltestelle,1,49.0554967,8.5306646,250
Bushaltestelle,1,48.9687699,8.4145362,250
Bushaltestelle,1,49.0017846,8.3367969,150
Bushaltestelle,1,48.9997094,8.3343421,250
Bushaltestelle,1,48.9925145,8.448399,150
Bushaltestelle,1,49.0271448,8.3654877,150
Bushaltestelle,1,49.0020397,8.3429528,250
Bushaltestelle,1,48.9733177,8.4736092,250
Bushaltestelle,1,49.0269487,8.3864394,250
Bushaltestelle,1,49.03485,8.3404457,250
Bushaltestelle,1,48.9740402,8.4531351,150
Bushaltestelle,1,48.9520589,8.5116036,150
Bushaltestelle,1,49.0024616,8.4348305,150
Bushaltestelle,1,48.9947838,8.4821966,150
Bushaltestelle,1,49.0056269,8.4956645,150
Bushaltestelle,1,48.9710291,8.5489267,300
Bushaltestelle,1,49.0455689,8.3816439,150
Bushaltestelle,1,49.0055673,8.3777173,250
Bushaltestelle,1,49.0432904,8.4604691,250
Bushaltestelle,1,49.0037152,8.4230356,250
Bushaltestelle,1,48.965334,8.472131,150
Bushaltestelle,1,49.000602,8.3660243,150
Bushaltestelle,1,48.9500403,8.4063514,150
Bushaltestelle,1,48.9945076,8.3514733,150
Bushaltestelle,1,49.0352901,8.3363408,250
Bushaltestelle,1,48.9916632,8.4011534,150
Bushaltestelle,1,49.0202515,8.3650456,150
Bushaltestelle,1,48.9886818,8.4913332,250
Bushaltestelle,1,49.010909,8.359608,150
Bushaltestelle,1,49.0001864,8.4779023,300
Bushaltestelle,1,49.0404147,8.3928477,300
Bushaltestelle,1,48.9517846,8.4051917,300
Bushaltestelle,1,48.9956169,8.4501192,150
Bushaltestelle,1,49.0319314,8.4421121,150
Bushaltestelle,1,49.0106517,8.3594905,300
Bushaltestelle,1,48.9967109,8.3484938,150
Bushaltestelle,1,48.97415,8.4640651,300
Bushaltestelle,1,49.0188877,8.4670148,300
Bushaltestelle,1,48.9539468,8.5078181,250
